mean,sd,min,max,cv,n,region_id,indicator
381040,15634.650975033344,366180,406620,0.04103152155950384,10,NL12,pop_tot_total
242278,21037.981948001678,219060,272620,0.08683405818110468,10,NL13,pop_tot_total
736742,42823.140629025955,694090,802030,0.058125016123725746,10,NL21,pop_tot_total
1313726,55947.748480166745,1256260,1413470,0.042587075600366245,10,NL22,pop_tot_total
259177,12581.528833086137,247590,282380,0.04854415643782487,10,NL23,pop_tot_total
1788403,74990.12483876348,1734730,1934730,0.04193133473761981,10,NL32,pop_tot_total
199440,6194.813242633802,193300,209220,0.03106103711709688,10,NL34,pop_tot_total
1580048,63363.53311557752,1511400,1677980,0.04010228367465895,10,NL41,pop_tot_total
672283,18165.91744632422,656510,706300,0.027021235768752476,10,NL42,pop_tot_total
140252,7770.056198852962,130910,151410,0.055400680196025454,10,AT11,pop_tot_total
890955,51627.142570551005,825100,954500,0.05794584751255788,10,AT12,pop_tot_total
1318137,29551.538425830444,1273710,1357130,0.022419170712779053,10,AT13,pop_tot_total
285984,15723.167761123852,268690,309620,0.05497918681158335,10,AT21,pop_tot_total
726414,53898.60340388134,658970,793850,0.07419818919222557,10,AT22,pop_tot_total
870325,38295.492989819744,824980,917650,0.0440013707406081,10,AT31,pop_tot_total
324422,9399.740894774115,311580,337860,0.028973808480232892,10,AT32,pop_tot_total
471722,38003.630469849704,423330,518870,0.08056361685452386,10,AT33,pop_tot_total
229991,5935.245852812951,221220,237650,0.02580642656805245,10,AT34,pop_tot_total
1957169,199909.0258342529,1693550,2312320,0.1021419334938643,10,PL21,pop_tot_total
2265309,321512.63892384974,1875730,2789800,0.14192882248022223,10,PL22,pop_tot_total
1966865,204246.66281783461,1704380,2327010,0.10384376295161825,10,PL41,pop_tot_total
901111,136377.91206382687,731820,1101060,0.15134418741290126,10,PL42,pop_tot_total
547668,78196.68759679729,448060,663560,0.142781187867097,10,PL43,pop_tot_total
1467621,170252.93728580556,1221150,1759540,0.11600606511204566,10,PL51,pop_tot_total
512102,79683.88109691111,411040,639090,0.1556015815148371,10,PL52,pop_tot_total
1157949,167338.8394479231,950160,1410330,0.144513134384954,10,PL61,pop_tot_total
814591,133112.5343000342,660580,1012050,0.16341026883434043,10,PL62,pop_tot_total
1288190,122837.5095626558,1124490,1507000,0.09535667064847252,10,PL63,pop_tot_total
1295985,169249.2313621148,1081740,1560180,0.1305950542345126,10,PL71,pop_tot_total
688349,111858.18208288963,554620,851540,0.16250213493865703,10,PL72,pop_tot_total
1227427,179920.79634290937,1010540,1508170,0.14658370423895625,10,PL81,pop_tot_total
1268078,184990.46737001822,1046420,1552280,0.14588256193232452,10,PL82,pop_tot_total
674778,110823.83877126798,538940,841440,0.16423748072887376,10,PL84,pop_tot_total
1416378,98287.31712009778,1277800,1577860,0.06939342260335714,10,PL91,pop_tot_total
1423436,205017.40393331382,1175070,1715010,0.14402994158733784,10,PL92,pop_tot_total
1994586,26329.36982830306,1960090,2021550,0.013200418446887255,10,PT11,pop_tot_total
225783,6659.257632966473,218520,239050,0.029494061257785007,10,PT15,pop_tot_total
147216,6267.576529692761,139680,160800,0.042574017292228844,10,PT20,pop_tot_total
139381,8201.775485290433,128770,151500,0.058844286418453254,10,PT30,pop_tot_total
1406709,104248.9658302022,1323070,1644260,0.07410840893902164,10,RO11,pop_tot_total
