STRUCTURE,STRUCTURE_ID,freq,sectperf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2010,0.73,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2011,0.74,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2012,0.74,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2013,0.79,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2014,0.77,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2015,0.82,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2016,0.85,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2017,0.84,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2018,0.95,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2019,1.08,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2020,1.24,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2021,1.24,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2022,1.42,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2023,1.37,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HR,2024,1.35,p,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2010,1.13,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2011,1.18,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2012,1.26,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2013,1.38,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2014,1.34,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2015,1.34,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2016,1.18,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2017,1.31,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2018,1.5,b,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2019,1.46,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2020,1.58,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2021,1.63,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2022,1.39,d,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2023,1.38,d,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,HU,2024,1.31,d,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2010,1.6,e,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2011,1.54,e,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2012,1.55,e,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2013,1.54,e,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2014,1.48,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2015,1.14,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2016,1.15,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2017,1.21,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2018,1.08,e,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2019,1.14,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2020,1.13,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,IE,2021,1.08,,
