STRUCTURE,STRUCTURE_ID,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2020,1.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2021,4.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2022,10.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2023,5.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2024,5.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2010,-2.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2011,-2.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2012,-2.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2013,-2.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2014,-0.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2015,3.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2016,0.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2017,4.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2018,5.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2019,4.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2020,2.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2021,5.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2022,29.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2023,10.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EE,2024,1.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2010,-0.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2011,-2.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2012,-6.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2013,-6.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2014,-5.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2015,-4.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2016,-0.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2017,-0.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2018,0.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2019,1.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2020,-1.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2021,-3.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2022,0.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2023,2.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,EL,2024,5.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2010,1.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2011,1.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2012,-3.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2013,-5.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2014,-2.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2015,-0.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2016,1.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2017,3.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2018,7.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2019,9.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2020,5.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2021,4.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2022,15.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2023,13.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,ES,2024,12.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2010,2.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2011,3.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2012,3.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2013,3.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2014,2.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2015,2.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2016,3.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2017,2.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2018,2.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2019,2.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2020,3.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2021,4.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2022,6.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2023,10.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FI,2024,8.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2010,0.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2011,0.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2012,1.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2013,1.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2014,0.5,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2015,-0.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2016,-0.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2017,0.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2018,1.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2019,0.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2020,2.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2021,4.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2022,4.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2023,2.8,p,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FR,2024,2.8,p,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FX,2010,0.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FX,2011,0.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,FX,2012,1.4,,
