STRUCTURE,STRUCTURE_ID,freq,age,sex,isco08,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,1996,8108.2,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,1997,8409.7,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,1999,8547.3,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2000,8771.9,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2001,8725.6,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2002,8289.7,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2003,8810.7,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2004,9047.2,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2005,9320.2,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2006,9216.9,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2007,9420.2,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2008,9868.0,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2009,10296.6,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2010,10291.7,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2011,10823.6,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2012,11119.3,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,DE,2013,11284.6,,
