STRUCTURE,STRUCTURE_ID,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2021,1.6,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2022,0.3,p,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2023,-1.2,p,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2024,-0.3,p,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2025,0.4,p,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,1996,2.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,1997,0.6,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,1998,0.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,1999,1.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2000,2.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2001,-0.2,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2002,0.8,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2003,1.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2004,3.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2005,1.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2006,1.2,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2007,0.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2008,-1.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2009,-1.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2010,3.6,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DK,2011,0.4,,
