STRUCTURE,STRUCTURE_ID,freq,wstatus,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,ES,2021,21.0,d,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,ES,2022,17.8,d,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,ES,2023,14.4,d,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,ES,2024,13.3,d,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,ES,2025,12.8,d,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2009,13.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2010,14.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2011,14.2,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2012,14.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2013,13.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2014,13.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2015,13.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2016,14.2,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2017,14.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2018,14.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2019,14.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2020,13.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2021,12.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2022,12.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2023,12.3,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2024,12.3,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FI,2025,11.4,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FR,2003,10.2,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FR,2004,10.2,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FR,2005,10.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FR,2006,10.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FR,2007,10.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FR,2008,10.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,FR,2009,10.4,,
