STRUCTURE,STRUCTURE_ID,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2000,22.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2001,22.2,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2002,21.0,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2003,21.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2004,22.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2005,22.5,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2006,22.0,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2007,22.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2008,23.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2009,25.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2010,26.0,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2011,27.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2012,28.9,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2013,29.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2014,28.4,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2015,29.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2016,30.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2017,31.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2018,32.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2019,33.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2020,35.3,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2021,36.9,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2022,36.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2023,37.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2024,39.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DE,2025,40.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,1992,17.0,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,1993,23.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,1994,27.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,1995,26.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,1996,26.5,b,
